Vessel,Ware,VesType,Rim Style,RimDiameter,RimWidth,Rim Height,Body Thickness at Rim,Body Thickness 1cm Below Rim,Body Thickness 2cm Below Rim
MH470,Stoneware,Crock,Squarred,26,7,16,13,12,11
MH461,Stoneware,Crock,Squarred,26,7,10,10,10,10
NS268,Stoneware,Crock,Squarred,18,21,11,13,11,10
MH499,Stoneware,Crock,Squarred,20,12,25,16,12,10
MH478,Stoneware,Crock,Squarred,22,8,16,13,12,10
NS221,Coarse Earthenware,Crock,Rolled,16,19,17,11,10,9
MH437,Stoneware,Crock,Rolled,20,8,18,12,10,9
MH473,Stoneware,Crock,Squarred,20,7,20,16,12,9
MH475,Stoneware,Crock,Squarred,18,6,19,15,13,9
MH474,Stoneware,Crock,Squarred,16,7,18,10,8,8
NS246,Coarse Earthenware,Crock,Squarred,18,14,20,9,9,8
NS240,Coarse Earthenware,Crock,Squarred,20,17,20,11,9,8
MH481,Stoneware,Crock,Squarred,18,11,16,11,9,8
MH476,Stoneware,Crock,Squarred,20,9,17,12,9,8
MH444,Stoneware,Crock,Squarred,22,6,16,13,10,8
MH442,Stoneware,Crock,Squarred,24,22,14,11,10,8
SHV134,Coarse Earthenware,Crock,Rolled,18,21,8,9,8,7
SQ006,Stoneware,Crock,Squarred,24,12,12,10,8,7
NS242,Coarse Earthenware,Crock,Squarred,20,17,21,12,8,7
NS225,Coarse Earthenware,Crock,Squarred,20,15,25,9,8,7
MH432,Stoneware,Crock,Rolled,20,6,12,9,8,7
MH449,Stoneware,Crock,Squarred,22,7,16,11,8,7
MH445,Stoneware,Crock,Squarred,16,6,16,11,9,7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
